R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	
16	16	1	16	16	0	16	16	16	16	
3	2	1	3	3	0	16	16	16	16	
3	2	1	3	3	0	16	16	16	16	
3	2	1	3	3	0	16	16	16	16	
3	2	1	3	3	0	16	1	16	16	
3	2	1	3	3	0	3	1	16	16	
3	2	1	3	2	0	3	1	16	16	
2	2	1	3	2	0	3	1	16	16	
2	2	1	3	2	0	3	1	16	16	
2	2	1	3	2	0	3	1	16	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
2	2	1	3	2	0	3	1	4	2	
