R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	
1	0	1	16	16	16	16	16	16	16	
1	0	1	16	16	16	16	16	16	16	
1	0	1	1	16	16	16	16	16	16	
1	0	1	1	16	16	16	16	16	16	
1	0	1	1	1	16	16	16	16	16	
1	0	1	1	1	16	16	16	16	16	
1	0	1	1	1	16	16	16	16	16	
1	0	1	1	1	2	16	16	16	16	
1	0	1	1	1	2	1	16	16	16	
1	0	1	1	1	2	1	16	16	16	
1	0	1	1	1	2	1	16	16	16	
1	0	1	1	1	2	1	2	16	16	
1	0	1	1	1	2	1	2	16	16	
1	0	1	1	1	2	1	2	16	16	
1	0	1	1	1	2	1	2	2	16	
1	0	1	1	1	2	1	2	2	16	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
1	0	1	1	1	2	1	2	2	3	
